src_hub,AGRB,AMCH,AMDH,BBIH,BGMH,BLRH,BOMH,BUPF,CCUH,CJBH,COKB,DELH,GAUB,GOIB,HDRB,HYDH,IDRH,IXCB,IXRB,JAIH,KNPH,LKOH,LUHB,MAAH,NAGH,NDAH,PATH,PNPF,PNQH,PWNB,RDPF,RPRH,SILB,SNRH,SXVF,UDRF,VPIH,VZAH
AGRB,0,441.95,928.6,1443.766,1599.179,1949.197,1204.409,520.925,1268.328,2295.353,2469.412,218.198,1702.135,1720.197,390.76,1326.828,643.34,477.827,1042.39,249.558,273.591,337.207,545.76,1986.649,837.776,193.942,878.915,330.733,1234.535,503.648,299.37,966.679,1245.296,1103.769,2147.073,633.706,1230.712,1623.937
AMCH,441.95,0,1156.237,1867.408,2075.043,2403.704,1594.365,217.688,1691.97,2746.833,2925.603,283.985,2120.379,2197.652,157.858,1771.411,1026.277,37.432,1466.896,456.227,697.233,760.849,110.788,2435.048,1289.26,246.379,1302.557,117.366,1622.776,64.726,431.269,1418.163,1665.554,1491.838,2598.553,857.608,1453.994,2072.81
AMDH,928.6,1156.237,0,1685.666,1006.141,1491.254,525.463,1031.886,2112.716,1750.005,1940.259,872.718,2618.288,1128.75,1177.765,1227.753,447.761,1184.837,1639.124,697.759,1117.979,1259.056,1254.18,1837.651,861.667,972.082,1800.764,1036.954,673.096,1212.131,1236.01,1131.016,2163.463,508.078,1723.213,284.973,385.092,1525.19
BBIH,1443.766,1867.408,1685.666,0,1648.565,1448.86,1611.318,1960.106,421.855,1729.821,1866.784,1651.071,1408.954,1768.513,1850.658,1087.77,1307.705,1899.695,459.406,1683.258,1170.963,1150.889,1969.037,1257.183,849.577,1615.856,768.416,1751.812,1655.171,1926.989,1506.219,554.653,954.129,1480.232,1589.386,1676.776,1687.545,782.476
BGMH,1599.179,2075.043,1006.141,1648.565,0,482.805,494.127,2006.41,2067.45,745.722,934.466,1793.662,3153.172,122.727,2096.571,580.892,960.188,2107.411,1848.778,1619.946,1662.948,1750.438,2176.754,831.857,998.591,1894.656,1986.546,1959.528,366.296,2134.705,2158.584,1258.856,2698.346,526.571,718.93,1218.619,621.366,878.329
BLRH,1949.197,2403.704,1491.254,1448.86,482.805,0,976.071,2488.353,1867.745,385.978,561.957,2168.731,2852.452,582.634,2352.513,633.339,1445.3,2432.968,1972.774,2105.059,1942.146,2029.636,2502.31,349.886,1116.998,2149.129,2104.954,2285.085,848.239,2460.262,2228.156,1377.264,2397.627,1008.514,237.697,1700.563,1106.479,668.574
BOMH,1204.409,1594.365,525.463,1611.318,494.127,976.071,0,1526.382,1995.105,1241.135,1429.986,1312.984,2758.401,618.476,1615.893,717.48,563.338,1627.383,1638.267,1139.268,1266.098,1353.588,1696.726,1327.377,747.273,1414.628,1703.44,1479.5,162.823,1654.677,1678.557,1056.669,2303.576,144.969,1214.343,738.592,140.688,1014.917
BUPF,520.925,217.688,1031.886,1960.106,2006.41,2488.353,1526.382,0,1784.668,2751.187,2938.156,344.094,2218.475,2127.428,366.387,1841.893,1034.671,224.466,1558.194,457.281,789.931,853.547,142.144,2501.713,1352.84,395.37,1395.255,324.143,1565.319,250.287,583.556,1481.744,1761.636,1434.553,2662.138,789.171,1385.949,2139.002
CCUH,1268.328,1691.97,2112.716,421.855,2067.45,1867.745,1995.105,1784.668,0,2149.422,2285.669,1475.633,997.396,2187.398,1639.648,1506.654,1525.611,1724.257,377.023,1507.821,995.526,975.451,1793.6,1676.068,1233.364,1440.418,564.076,1576.374,1943.453,1751.551,1330.781,938.44,542.57,1864.018,2008.987,1828.265,2071.332,1201.361
CJBH,2295.353,2746.833,1750.005,1729.821,745.722,385.978,1241.135,2751.187,2149.422,0,181.922,2501.377,3137.151,821.055,2696.68,979.499,1704.212,2779.12,2192.449,2365.132,2284.56,2369.842,2848.463,493.141,1453.874,2496.8,2459.51,2631.237,1111.146,2806.415,2574.862,1722.925,2683.842,1271.418,148.971,1963.414,1365.614,951.271
