Hub Code,SC Code,Pincode,Lat,Long,Branch Name
CCUH,CCUC,711114,22.619556,88.282778,Howrah branch
BBIH,BBIB,751010,20.325524,85.882528,Bhubaneshwar
PATH,PATF,800007,25.586714,85.186265,Patna
SMBH,SMBF,768006,21.494790,83.966958,Sambalpur
IDRH,IDRB,453771,22.8737960,75.9686070,Indore
JBLH,JLRB,482002,23.2310390,79.8927470,Jabalpur
NAGH,NAGB,440023,21.1361960,78.9232170,Nagpur
RPRH,RPRB,492099,21.2539810,81.5500250,Raipur
KNPH,KNUB,208011,26.448000,80.248472,Kanpur
LKOH,LKOB,226012,26.777667,80.898000,Lucknow
AMCH,AMCF,134007,30.403732,76.787918,Ambala Cantt.
AMDH,AMDO,382213,22.909458,72.429328,Ahmedabad Hub Branch
BDQH,BDQB,391740,22.394126,73.138288,Baroda
VPIH,VPIB,396105,20.323450,72.905042,Vapi
JAIH,JAIC,302013,26.994331,75.776349,Jaipur
DELH,DELO,123401,28.170833,76.719111,Raliawas HUB-Virtual Branch
GZBH,GZBB,201003,28.690583,77.428417,Gaziabad
BLRH,BLRF,562123,13.063528,77.445694,Peenya ( Pe7)
BGMH,IXGF,590016,15.875167,74.529944,Belgaum
BOMH,BWDB,421302,19.343886,73.115647,Bhiwandi
HYDH,HYDO,501401,17.584585,78.503720,Hydrabad Hub Branch
VZAH,VGAF,520007,16.514234,80.705154,Vijayawada
MAAH,MAAC,600124,13.038278,80.043917,Noombal
PNQH,PNQO,0,18.700861,73.841611,Pune Hub- Branch
SNRH,SNRB,422113,19.866195,73.971781,Sinnar
CJBH,CJBC,641062,11.0524939,77.0209403,Coimbatore
SXVF,SLMF,636010,11.6241424,78.035084,Salem Branch
PGTH,PLGB,673003,11.236417,75.789056,Palghat
NDAH,NDAB,201305,28.555500,77.403528,Noida
BHOH,BHOB,462021,23.2726060,77.5202950,Bhopal
GAUH,GAUB,781031,26.207167,91.683417,Guwahati
IXCB,IXCB,134113,30.669387,76.841499,Punchkula
COKB,COKB,682 024,10.034111,76.312611,Cochin
RDPF,RDPF,263153,28.989294,79.435967,Rudrapur
GOIB,GOIB,403722,15.367927,73.927502,Goa
GAUB,GAUB,781031,26.207167,91.683417,Guwahati
PWNB,PWNB,173220,30.83884,76.961809,Parwanoo
LUHB,LUHB,141003,30.896757,75.873124,Ludhiana
DEDF,DEDF,248001,30.281611,77.990056,Dehradun
PNPF,PNPF,0,29.438129,76.969993,Panipat
SILB,SILB,734015,26.651583,88.416037,Siliguri
UDRF,UDRF,313001,24.587700,73.742183,Udaipur
BUPF,BUPF,151001,30.200568,74.9594,Bathinda
AGRB,AGRB,282005,27.206161,77.980543,Agra
