,dest,intermediate_location,payload,src,transhipment_path,veh_type,verb
912,IXRB,,13500,DELH,,2,ADD
975,HYDH,,13500,NDAH,,2,ADD
907,BLRH,,13500,PNQH,,2,ADD
789,CCUH,,13500,DELH,,2,ADD
988,KNPH,,13500,NDAH,,2,ADD
928,NAGH,,13500,BOMH,,2,ADD
868,SXVF,,7500,BLRH,,2,ADD
925,IDRH,,13500,BOMH,,2,ADD
888,HYDH,,13500,BOMH,,2,ADD
752,BLRH,,7500,HYDH,,2,ADD
698,AMCH,,8200,LUHB,,2,ADD
864,NAGH,,7500,IDRH,,2,ADD
699,AMCH,,13500,LUHB,,2,ADD
893,JAIH,,13500,DELH,,2,ADD
1031,AMCH,,7500,PNPF,,2,ADD
986,AGRB,,8200,DELH,,2,ADD
648,AMCH,,13500,MAAH,,2,ADD
940,KNPH,,13500,DELH,,2,ADD
711,AMDH,,7500,VPIH,,2,ADD
886,DELH,,13500,NDAH,,2,ADD
542,BOMH,,8200,VPIH,,2,ADD
617,DELH,,13500,BLRH,,1,ADD
997,MAAH,,13500,NDAH,,1,ADD
1017,CCUH,,13500,BOMH,,1,ADD
939,BLRH,,13500,NDAH,,1,ADD
791,CCUH,,13500,BLRH,,1,ADD
910,IXRB,,13500,BLRH,,1,ADD
707,AMCH,,13500,BLRH,,1,ADD
891,KNPH,,13500,BLRH,,1,ADD
1041,MAAH,,13500,AMCH,,1,ADD
1042,MAAH,,13500,AMCH,,1,ADD
839,MAAH,,13500,DELH,,1,ADD
473,DELH,,13500,CJBH,,1,ADD
960,MAAH,,13500,AMDH,,1,ADD
557,MAAH,,13500,CCUH,,1,ADD
1012,CCUH,,13500,PNQH,,1,ADD
682,AMDH,,13500,CCUH,,1,ADD
481,AMDH,,13500,BLRH,,1,ADD
1050,MAAH,,13500,BOMH,,1,ADD
708,PNQH,,13500,AMCH,,1,ADD
903,BLRH,,13500,DELH,,1,ADD
640,BOMH,,8200,IXRB,,1,ADD
796,CJBH,,13500,PNQH,,1,ADD
913,CCUH,,13500,NDAH,,1,ADD
532,DELH,,13500,CCUH,,1,ADD
587,PNQH,,13500,KNPH,,1,ADD
936,COKB,,13500,BOMH,,1,ADD
702,AMCH,,13500,BOMH,,1,ADD
719,PNQH,,13500,MAAH,,1,ADD
908,BLRH,,13500,VPIH,,1,ADD
961,NDAH,,13500,BOMH,,1,ADD
973,KNPH,,13500,BOMH,,1,ADD
813,JAIH,,13500,BOMH,,1,ADD
1044,HYDH,,13500,DELH,,1,ADD
662,DELH,,13500,SILB,,1,ADD
974,PNQH,,13500,NDAH,,1,ADD
728,BLRH,,13500,BOMH,,1,ADD
1007,NAGH,,13500,DELH,,1,ADD
646,HYDH,,13500,CCUH,,1,ADD
965,SXVF,,13500,BOMH,,1,ADD
508,BOMH,,13500,DELH,,1,ADD
1005,PNQH,,13500,AMDH,,1,ADD
448,PNQH,,13500,BGMH,,1,ADD
461,BOMH,,13500,BLRH,,1,ADD
743,HYDH,,13500,BOMH,,1,ADD
663,CCUH,,13500,SILB,,1,ADD
869,VZAH,,13500,BOMH,,1,ADD
657,MAAH,,13500,AGRB,,1,ADD
1016,AMDH,,13500,NDAH,,1,ADD
846,BBIH,,13500,NAGH,,1,ADD
480,PNQH,,13500,DELH,,1,ADD
795,PNQH,,13500,NAGH,,1,ADD
643,BOMH,,13500,MAAH,,1,ADD
799,SILB,,8200,CCUH,,1,ADD
809,PATH,,13500,BOMH,,1,ADD
1047,BLRH,,13500,IDRH,,1,ADD
597,DELH,,13500,VPIH,,1,ADD
505,AMDH,,8200,JAIH,,1,ADD
568,DELH,,13500,MAAH,,1,ADD
759,DELH,,13500,PNQH,,1,ADD
601,DELH,,13500,BOMH,,1,ADD
1008,NAGH,,13500,VPIH,,1,ADD
862,AMDH,,13500,DELH,,1,ADD
1009,HYDH,,13500,PNQH,,1,ADD
860,PNQH,,13500,IDRH,,1,ADD
765,AMDH,,13500,BOMH,,1,ADD
1033,KNPH,,13500,AMCH,,1,ADD
552,HYDH,,13500,NAGH,,1,ADD
450,BLRH,,7500,HYDH,,1,ADD
483,PNQH,,13500,BLRH,,1,ADD
937,NAGH,,13500,BOMH,,1,ADD
930,AMDH,,13500,BOMH,,1,ADD
683,DELH,,13500,AMDH,,1,ADD
810,BGMH,,7500,BOMH,,1,ADD
555,IDRH,,13500,HYDH,,1,ADD
741,BLRH,,13500,PNQH,,1,ADD
818,CJBH,,13500,BLRH,,1,ADD
924,IDRH,,13500,AMDH,,1,ADD
764,VPIH,,7500,AMDH,,1,ADD
451,BGMH,,7500,BLRH,,1,ADD
905,MAAH,,7500,HYDH,,1,ADD
474,DELH,,13500,KNPH,,1,ADD
572,BLRH,,13500,COKB,,1,ADD
488,KNPH,,8200,RDPF,,1,ADD
661,BOMH,,13500,DELH,,1,ADD
604,IXRB,,8200,PATH,,1,ADD
653,DELH,,13500,KNPH,,1,ADD
547,MAAH,,8200,COKB,,1,ADD
693,AMCH,,13500,HDRB,,1,ADD
605,DELH,,13500,HDRB,,1,ADD
717,MAAH,,7500,SXVF,,1,ADD
1046,NAGH,,13500,IDRH,,1,ADD
985,AGRB,,8200,KNPH,,1,ADD
490,BOMH,,7500,VPIH,,1,ADD
651,NDAH,,7500,AGRB,,1,ADD
1015,DELH,,13500,IDRH,,1,ADD
533,KNPH,,7500,PATH,,1,ADD
452,BOMH,,7500,SNRH,,1,ADD
957,VZAH,,8200,MAAH,,1,ADD
904,BLRH,,8200,MAAH,,1,ADD
958,CCUH,,5200,IXRB,,1,ADD
720,BLRH,,13500,MAAH,,1,ADD
531,PNQH,,7500,BOMH,,1,ADD
705,DELH,,13500,AMCH,,1,ADD
504,BOMH,,13500,BLRH,,1,ADD
690,AMCH,,8200,LUHB,,1,ADD
748,VZAH,,8200,HYDH,,1,ADD
517,NDAH,,13500,DELH,,1,ADD
689,DELH,,8200,LUHB,,1,ADD
566,NDAH,,7500,RDPF,,1,ADD
672,PNQH,,7500,VPIH,,1,ADD
523,HYDH,,8200,VZAH,,1,ADD
697,DELH,,7500,IXCB,,1,ADD
803,SNRH,,7500,PNQH,,1,ADD
619,BLRH,,13500,KNPH,,1,ADD
692,AMCH,,7500,LUHB,,1,ADD
691,AMCH,,7500,LUHB,,1,ADD
713,NDAH,,13500,AMCH,,1,ADD
1035,AMCH,,13500,DELH,,1,ADD
427,BOMH,,7500,PNQH,,1,ADD
897,PNQH,,7500,BOMH,,1,ADD
431,SXVF,,5200,CJBH,,1,ADD
852,COKB,,7500,CJBH,,1,ADD
999,CCUH,,13500,DELH,,1,ADD
990,MAAH,,8200,BLRH,,1,ADD
704,DELH,,13500,AMCH,,1,ADD
1032,AMCH,,8200,NDAH,,1,ADD
894,JAIH,,13500,DELH,,1,ADD
694,AMCH,,7500,IXCB,,1,ADD
435,BOMH,,7500,PNQH,,1,ADD
695,AMCH,,7500,PNPF,,1,ADD
650,DELH,,7500,AGRB,,1,ADD
0,CCUH,BBIH,13500,BLRH,,1,INS
1,IXRB,VZAH,13500,BLRH,,1,INS
2,IXRB,BBIH,13500,BLRH,,1,INS
3,NDAH,HYDH,13500,BLRH,,1,INS
4,KNPH,HYDH,13500,BLRH,,1,INS
5,BLRH,BBIH,13500,CCUH,,1,INS
6,BLRH,HYDH,13500,KNPH,,1,INS
7,BLRH,BBIH,13500,IXRB,,1,INS
8,BLRH,VZAH,13500,IXRB,,1,INS
9,BOMH,NAGH,13500,CCUH,,1,INS
10,MAAH,HYDH,13500,AMCH,,1,INS
11,MAAH,HYDH,13500,AMCH,,1,INS
12,AMCH,HYDH,13500,MAAH,,1,INS
13,DELH,SXVF,13500,CJBH,,1,INS
14,DELH,BLRH,13500,CJBH,,1,INS
15,DELH,JAIH,13500,CJBH,,1,INS
16,MAAH,HYDH,13500,AMDH,,1,INS
17,MAAH,BBIH,13500,CCUH,,1,INS
18,MAAH,VZAH,13500,CCUH,,1,INS
19,AMDH,HYDH,13500,MAAH,,1,INS
20,CCUH,NAGH,13500,PNQH,,1,INS
21,AMDH,IXRB,13500,CCUH,,1,INS
22,PNQH,SNRH,13500,AMCH,,1,INS
23,AMCH,SNRH,13500,PNQH,,1,INS
24,CCUH,IXRB,13500,AMDH,,1,INS
25,CJBH,SXVF,13500,PNQH,,1,INS
26,CCUH,VZAH,13500,MAAH,,1,INS
27,DELH,KNPH,13500,CCUH,,1,INS
28,PNQH,SXVF,13500,CJBH,,1,INS
29,PNQH,BLRH,13500,CJBH,,1,INS
30,PNQH,SNRH,13500,KNPH,,1,INS
31,KNPH,SNRH,13500,PNQH,,1,INS
