src_hub,AGRB,AMCH,AMDH,BBIH,BGMH,BLRH,BOMH,BUPF,CCUH,CJBH,COKB,DELH,GAUB,GOIB,HDRB,HYDH,IDRH,IXCB,IXRB,JAIH,KNPH,LKOH,LUHB,MAAH,NAGH,NDAH,PATH,PNPF,PNQH,PWNB,RDPF,RPRH,SILB,SNRH,SXVF,UDRF,VPIH,VZAH
AGRB,0.1,0,1.1,0,0.1,6.3,0.7,0,0.8,1.6,0.3,1.2,0,0,0.1,1,0.6,0.1,0.1,0.1,0.3,0.2,0.1,1.2,0,1,0.2,0,0.3,0,0,0.1,0,0.3,0.4,0.1,0.1,0.1
AMCH,0.4,1,0.6,0.1,0.3,1.7,1.7,0.4,1.1,0.5,0.6,2.4,0.1,0.1,0.1,2.7,1.7,0.4,0.1,1.8,0.6,2.4,0.5,1.6,0.5,1.5,0.2,0.1,0.4,0,0,0.2,0.1,0.4,1,0.4,0,1.3
AMDH,1.2,1.1,9.9,1.1,0.7,18.5,13.2,0.6,8.9,3.6,1.6,14.6,1.3,1.5,1.4,9.8,5.4,1.6,1.6,3.4,2.1,3.1,1,8.7,3.4,5,2.8,0.2,8.1,0.6,0.2,1.6,0.5,1.8,6,0.8,3.5,2.6
BBIH,0,0,0.2,1.1,0.1,1.6,0.9,0,1.3,0.1,0.1,1.2,0.5,0.1,0.2,0.3,0.2,0.1,0.6,0.1,0,0.1,0.2,0.9,0.1,0.2,0.9,0,0.2,0,0,0.2,0.1,0,0,0,0.2,0.1
BGMH,0.2,0,0.1,0,0.2,1.9,0.3,0,0.4,0.5,0.1,0.2,0,0,0,0.4,0.1,0,0,0.1,0,0,0,0.6,0,0.1,0,0.1,0.2,0,0,0,0,0,0.1,0,0,0
BLRH,1.3,1.4,15.1,3.2,5.7,20.8,15.5,2.2,13.2,4.4,5.5,22.8,2.8,1,1.1,26.2,3.8,3.2,2.8,8.4,2.5,4,2.4,18.6,2.7,6.2,2.4,0.2,12.6,0.7,0.3,2.2,0.2,3,6.2,1.3,3.3,7.7
BOMH,2.1,4,25.3,3.1,2.7,41.6,18.6,1.1,23.3,5.5,5.5,35.1,4.8,4.2,4.7,26.2,10.9,4.5,3.4,6.4,3.2,8.3,5.3,21.4,10.1,15.4,4.2,0.8,21.9,5.3,1.3,5.4,1.2,8.5,6.2,0.6,7.8,5.6
BUPF,0,0.1,0.1,0,0,0.1,0.2,0.2,0.1,0.1,0,0.6,0,0,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0,0.3,0,0.1,0.1,0,0,0,0,0,0,0,0,0
CCUH,0.3,0.8,3,4.8,0.4,8.2,5.5,0.2,9.4,0.5,1,7.2,5.8,0.1,0.3,2.2,1.7,0.6,3.8,1.4,0.5,1.3,0.7,3.9,1.4,3.1,4.1,0.3,3.2,0.1,0.1,2.5,4.9,0.4,0.4,0.2,0.4,1.5
CJBH,0,0.1,2.5,0.3,0.5,1.6,1.3,0.2,1.1,0.5,0.9,1.7,0.1,0,0,1.2,0.6,0.3,0.5,0.8,1.3,0.3,0.1,1.7,0.6,1,1.1,0,1.6,1.4,0,1.1,0,0.1,0.8,0,0.4,0.5
COKB,0.1,0.4,0.3,0.1,0.2,2.2,0.7,0.1,0.2,0.5,0.4,1.2,0,0,0.3,1.2,0.2,0,0,0.4,0.1,0.1,0.3,1.9,0.2,0.6,0,0,0.5,0,0,0.1,0,0.1,1.4,0,0.4,0.3
